Property Address,Insight 1,Insight 2,Driver,Account,Criticality
"148 Pratt Extensions St, Dallas",Energy Usage,Off-Hours,Low energy efficiency,NexaRetail,Medium
"6692 Nathan Hills St, San Francisco",Energy Usage,Off-Hours,High energy usage during peak hours,Skyline Properties,High
"6169 Matthew Throughway St, Atlanta",Work Orders,Preventative,Completion Rates below 50%,Skyline Properties,Critical
"8703 James Ways St, Miami",Work Orders,Reactive,Completion Rates below 50%,Skyline Properties,Low
"2297 Daniel Parks St, Los Angeles",Work Orders,Preventative,High number of reactive work orders,NexaRetail,Critical
"2088 Michael Mount St, Houston",Compliance,Compliance Score,Multiple non-compliance incidents,EverGrow Farms,Low
"4352 Macdonald Crescent St, Atlanta",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,Skyline Properties,Critical
"3842 Meghan Harbor St, Chicago",Work Orders,Preventative,High number of reactive work orders,Skyline Properties,High
"2852 Small Inlet St, Seattle",Leases,Expiring,High number of expiring leases,EverGrow Farms,Critical
"257 William Corner St, Boston",Budgets,Budget Compliance,Energy Costs above 15% mean,GreenLeaf Co.,Critical
"4937 Rivas Summit St, New York",Leases,Occupancy,High number of expiring leases,Quantum Dynamics,Low
"801 Thompson Manor St, San Francisco",Work Orders,Completion Rate,High number of reactive work orders,TechSphere Inc.,Low
"6017 Hunter Lock St, Chicago",Work Orders,Completion Rate,Completion Rates below 50%,TechSphere Inc.,Critical
"266 Rachel Harbors St, Atlanta",Leases,Renewal Rate,High number of expiring leases,Bank of ACME,High
"8718 Cruz Stream St, Seattle",Leases,Occupancy,High number of expiring leases,Skyline Properties,Low
"6132 Stevenson Dale St, Los Angeles",Compliance,Regulatory Updates,Multiple non-compliance incidents,NexaRetail,High
"1802 Yolanda Point St, Seattle",Energy Usage,Off-Hours,Low energy efficiency,TechSphere Inc.,Medium
"9642 Joseph Ridge St, Miami",Energy Usage,Energy Efficiency,Low energy efficiency,TechSphere Inc.,Medium
"4372 Wilkinson Pass St, Chicago",Work Orders,Preventative,Completion Rates below 50%,Quantum Dynamics,Medium
"7405 Scott Rest St, San Francisco",Budgets,Energy Cost Variance,Energy Costs above 15% mean,Quantum Dynamics,Low
"4297 Teresa Dam St, Miami",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,EverGrow Farms,Medium
"7472 Hill Fall St, Miami",Compliance,Regulatory Updates,Upcoming regulatory changes,Quantum Dynamics,Medium
"1960 Sheri Via St, Boston",Work Orders,Preventative,Completion Rates below 50%,Bank of ACME,Critical
"4073 Shields Shoals St, Dallas",Leases,Occupancy,High number of expiring leases,Bank of ACME,Medium
"7016 Richardson Drive St, Chicago",Compliance,Compliance Score,Multiple non-compliance incidents,Quantum Dynamics,Medium
"9367 Hoffman Common St, Atlanta",Energy Usage,Energy Efficiency,Low energy efficiency,Quantum Dynamics,Low
"6579 Edwin Path St, Atlanta",Compliance,Compliance Score,Upcoming regulatory changes,EverGrow Farms,Critical
"7211 Jennings Canyon St, Miami",Work Orders,Completion Rate,Completion Rates below 50%,Skyline Properties,Critical
"2632 Jesus Hills St, Los Angeles",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,GreenLeaf Co.,Medium
"3872 Brett River St, Chicago",Leases,Occupancy,High number of expiring leases,Bank of ACME,Critical
"2844 Allen Junction St, Miami",Budgets,Energy Cost Variance,Energy Costs above 15% mean,TechSphere Inc.,Low
"9108 Henry Underpass St, Seattle",Budgets,Energy Cost Variance,Energy Costs above 15% mean,Skyline Properties,Critical
"4223 Porter Mount St, Los Angeles",Work Orders,Preventative,High number of reactive work orders,EverGrow Farms,Medium
"3965 Lori Street St, Houston",Energy Usage,Peak Hours,High energy usage during peak hours,Quantum Dynamics,High
"4448 Watson Mountains St, Los Angeles",Work Orders,Reactive,Completion Rates below 50%,Skyline Properties,Medium
"6772 Johnston Ways St, Houston",Energy Usage,Peak Hours,High energy usage during peak hours,TechSphere Inc.,Critical
"6638 Roberts Hollow St, Chicago",Leases,Renewal Rate,High number of expiring leases,StreamView Media,High
"7163 Stephanie Pass St, Los Angeles",Energy Usage,Energy Efficiency,High energy usage during peak hours,EverGrow Farms,Critical
"163 Rodriguez Walk St, Los Angeles",Leases,Expiring,Low renewal rates,EverGrow Farms,Critical
"1229 Amber Run St, Chicago",Work Orders,Completion Rate,Completion Rates below 50%,Skyline Properties,Medium
"2835 Jessica Prairie St, Houston",Energy Usage,Off-Hours,High energy usage during peak hours,TechSphere Inc.,Medium
"5093 Cabrera Points St, New York",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,GreenLeaf Co.,High
"1008 Cory Grove St, Houston",Energy Usage,Off-Hours,Low energy efficiency,Bank of ACME,Critical
"1201 Johnson Ridge St, Seattle",Budgets,Budget Compliance,Janitorial Budget above 20% mean,StreamView Media,High
"435 Stephanie Point St, Miami",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,StreamView Media,Medium
"8006 Robertson Lakes St, San Francisco",Leases,Renewal Rate,High number of expiring leases,TechSphere Inc.,High
"5299 Walton Highway St, Seattle",Work Orders,Preventative,Completion Rates below 50%,Quantum Dynamics,Medium
"5697 Rivera Run St, Los Angeles",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,Bank of ACME,Critical
"8730 Wells Forge St, Atlanta",Leases,Renewal Rate,Low renewal rates,StreamView Media,Medium
"9128 Pamela Center St, Chicago",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,StreamView Media,Medium
"6229 Sandra Row St, Dallas",Energy Usage,Peak Hours,Low energy efficiency,NexaRetail,High
"8121 Jones Mountains St, Miami",Energy Usage,Energy Efficiency,Low energy efficiency,Bank of ACME,Critical
"8655 Medina Track St, Chicago",Leases,Occupancy,High number of expiring leases,StreamView Media,Medium
"8821 Sophia Pines St, Boston",Leases,Occupancy,Low renewal rates,Bank of ACME,High
"7269 Vickie Shores St, Dallas",Energy Usage,Off-Hours,High energy usage during peak hours,NexaRetail,High
"6874 Sanchez Manors St, Boston",Leases,Expiring,High number of expiring leases,GreenLeaf Co.,Critical
"4404 Nixon Lock St, Atlanta",Compliance,Compliance Score,Upcoming regulatory changes,Quantum Dynamics,Medium
"7823 Jennifer Court St, Seattle",Energy Usage,Off-Hours,High energy usage during peak hours,Bank of ACME,Critical
"8908 Pam Ridge St, Boston",Compliance,Compliance Score,Multiple non-compliance incidents,GreenLeaf Co.,Medium
"4840 Foster Walk St, Houston",Budgets,Budget Compliance,Janitorial Budget above 20% mean,Skyline Properties,High
"8307 Dominguez Mall St, Los Angeles",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,Skyline Properties,Critical
"1360 Cindy Meadows St, Boston",Leases,Expiring,High number of expiring leases,Skyline Properties,High
"8369 Yu Summit St, Dallas",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,EverGrow Farms,High
"7823 Pearson Glen St, Chicago",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,GreenLeaf Co.,Low
"8866 Dominguez Route St, Dallas",Leases,Renewal Rate,High number of expiring leases,Quantum Dynamics,Medium
"6943 York Route St, Dallas",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,Bank of ACME,Low
"7888 Shelton Junctions St, New York",Energy Usage,Off-Hours,Low energy efficiency,Skyline Properties,Low
"1935 Mallory Mountains St, Chicago",Compliance,Compliance Score,Upcoming regulatory changes,Quantum Dynamics,Critical
"6301 Welch Squares St, Chicago",Work Orders,Preventative,Completion Rates below 50%,EverGrow Farms,High
"5663 Joseph Centers St, Dallas",Leases,Renewal Rate,High number of expiring leases,Skyline Properties,Low
"6136 John Greens St, Seattle",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,TechSphere Inc.,Low
"838 Beth Run St, San Francisco",Budgets,Energy Cost Variance,Energy Costs above 15% mean,EverGrow Farms,High
"8284 Brown Courts St, Miami",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,GreenLeaf Co.,Low
"7107 Joseph Trail St, Atlanta",Leases,Occupancy,High number of expiring leases,GreenLeaf Co.,Critical
"2443 Miranda Square St, Chicago",Energy Usage,Off-Hours,Low energy efficiency,Bank of ACME,High
"9139 Smith Run St, Los Angeles",Energy Usage,Off-Hours,High energy usage during peak hours,Skyline Properties,Low
"4207 Herman Island St, San Francisco",Energy Usage,Energy Efficiency,Low energy efficiency,TechSphere Inc.,Low
"4593 Gay Cove St, Chicago",Leases,Renewal Rate,High number of expiring leases,NexaRetail,Low
"163 Blake Motorway St, Houston",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,GreenLeaf Co.,High
"7677 Valentine Street St, Houston",Compliance,Compliance Score,Upcoming regulatory changes,Skyline Properties,High
"6480 Benjamin Glen St, San Francisco",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,EverGrow Farms,High
"8003 Barbara Flat St, Dallas",Leases,Renewal Rate,Low renewal rates,Quantum Dynamics,High
"3647 Heather Ranch St, Los Angeles",Work Orders,Reactive,High number of reactive work orders,Quantum Dynamics,Low
"5451 Amanda Road St, San Francisco",Leases,Renewal Rate,High number of expiring leases,TechSphere Inc.,High
"6598 Jackie Mountains St, Miami",Energy Usage,Energy Efficiency,High energy usage during peak hours,TechSphere Inc.,Low
"3211 Wilkins Ville St, Dallas",Compliance,Regulatory Updates,Upcoming regulatory changes,TechSphere Inc.,Critical
"7210 Cassandra Burgs St, Dallas",Energy Usage,Energy Efficiency,High energy usage during peak hours,Quantum Dynamics,High
"1309 Ryan Plains St, Chicago",Leases,Occupancy,High number of expiring leases,NexaRetail,Critical
"2691 Li Plaza St, Dallas",Budgets,Energy Cost Variance,Energy Costs above 15% mean,Quantum Dynamics,High
"9874 Gilbert Forge St, Boston",Compliance,Compliance Score,Multiple non-compliance incidents,StreamView Media,Critical
"2176 Neal Rapid St, Atlanta",Compliance,Compliance Score,Multiple non-compliance incidents,GreenLeaf Co.,Low
"3556 Smith Lane St, Los Angeles",Energy Usage,Peak Hours,High energy usage during peak hours,TechSphere Inc.,High
"4805 Susan Hollow St, San Francisco",Leases,Occupancy,Low renewal rates,Skyline Properties,High
"7200 Page Keys St, Atlanta",Work Orders,Reactive,Completion Rates below 50%,TechSphere Inc.,Critical
"7592 Richardson Trail St, Chicago",Leases,Occupancy,High number of expiring leases,GreenLeaf Co.,Critical
"3235 Reed Motorway St, Chicago",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,Quantum Dynamics,Medium
"9615 Deanna Inlet St, New York",Compliance,Regulatory Updates,Multiple non-compliance incidents,NexaRetail,High
"9493 Jones Drives St, Atlanta",Leases,Occupancy,Low renewal rates,EverGrow Farms,Low
"5821 Whitney Common St, Los Angeles",Energy Usage,Energy Efficiency,Low energy efficiency,TechSphere Inc.,Low
"9082 Edwin Pass St, Boston",Budgets,Budget Compliance,Energy Costs above 15% mean,TechSphere Inc.,Critical
"7036 Taylor Mountains St, Dallas",Budgets,Budget Compliance,Energy Costs above 15% mean,TechSphere Inc.,Low
"1549 Hunt Knoll St, Houston",Budgets,Budget Compliance,Janitorial Budget above 20% mean,Skyline Properties,Medium
"1384 Cruz Causeway St, San Francisco",Energy Usage,Energy Efficiency,High energy usage during peak hours,Bank of ACME,High
"2143 Kristin Rapids St, Seattle",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,StreamView Media,Low
"8701 Beverly Field St, Seattle",Work Orders,Preventative,High number of reactive work orders,TechSphere Inc.,Medium
"5661 Christopher Knoll St, Miami",Energy Usage,Energy Efficiency,High energy usage during peak hours,Skyline Properties,Critical
"8704 Gibson Green St, Miami",Compliance,Regulatory Updates,Upcoming regulatory changes,NexaRetail,Low
"1606 Shelton Valleys St, San Francisco",Budgets,Energy Cost Variance,Energy Costs above 15% mean,Quantum Dynamics,High
"1051 Susan Vista St, Atlanta",Compliance,Regulatory Updates,Upcoming regulatory changes,NexaRetail,Medium
"7385 Timothy Route St, Dallas",Leases,Expiring,High number of expiring leases,Quantum Dynamics,Medium
"6656 Tamara Village St, Atlanta",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,Quantum Dynamics,High
"7081 Mitchell Roads St, Seattle",Leases,Renewal Rate,Low renewal rates,NexaRetail,High
"8141 Bates Drive St, Miami",Leases,Expiring,High number of expiring leases,Bank of ACME,Low
"8828 Rogers Meadow St, Los Angeles",Work Orders,Reactive,Completion Rates below 50%,Skyline Properties,Critical
"5278 Paul Road St, Los Angeles",Work Orders,Preventative,Completion Rates below 50%,EverGrow Farms,Medium
"3387 Andersen Plaza St, San Francisco",Work Orders,Reactive,Completion Rates below 50%,StreamView Media,High
"4507 Jackson Crescent St, Chicago",Energy Usage,Peak Hours,High energy usage during peak hours,GreenLeaf Co.,Medium
"1940 Edwards Ford St, Los Angeles",Budgets,Energy Cost Variance,Energy Costs above 15% mean,EverGrow Farms,Critical
"1639 Robertson Manor St, Houston",Energy Usage,Peak Hours,High energy usage during peak hours,StreamView Media,Medium
"206 Jessica Rapids St, San Francisco",Work Orders,Completion Rate,Completion Rates below 50%,Skyline Properties,Medium
"672 Freeman Mills St, Dallas",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,Skyline Properties,Low
"3425 Erin Squares St, Los Angeles",Work Orders,Completion Rate,Completion Rates below 50%,StreamView Media,Critical
"1399 Hodges Village St, Houston",Work Orders,Preventative,High number of reactive work orders,TechSphere Inc.,Low
"1922 Mark Track St, Atlanta",Budgets,Budget Compliance,Janitorial Budget above 20% mean,NexaRetail,Low
"6280 Austin Squares St, Miami",Leases,Occupancy,Low renewal rates,Skyline Properties,Medium
"5493 Hunt Divide St, Dallas",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,EverGrow Farms,Medium
"7966 Dale Canyon St, Los Angeles",Work Orders,Reactive,High number of reactive work orders,GreenLeaf Co.,Critical
"1438 Angela Lakes St, Chicago",Work Orders,Preventative,High number of reactive work orders,StreamView Media,High
"9197 Jennifer Place St, Houston",Compliance,Regulatory Updates,Upcoming regulatory changes,Quantum Dynamics,High
"3637 Moore Canyon St, Boston",Energy Usage,Off-Hours,High energy usage during peak hours,GreenLeaf Co.,Medium
"4324 Graham Estate St, New York",Energy Usage,Off-Hours,Low energy efficiency,TechSphere Inc.,Critical
"1273 Edwards Lane St, San Francisco",Energy Usage,Off-Hours,High energy usage during peak hours,NexaRetail,High
"9646 Johnson Manor St, Seattle",Energy Usage,Peak Hours,High energy usage during peak hours,Quantum Dynamics,Medium
"8676 John Fields St, Miami",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,GreenLeaf Co.,Low
"700 Paul Streets St, San Francisco",Leases,Occupancy,High number of expiring leases,NexaRetail,Critical
"3128 Bradley Drives St, New York",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,GreenLeaf Co.,Medium
"8302 Cameron Trace St, Seattle",Leases,Renewal Rate,High number of expiring leases,StreamView Media,High
"8798 Kirby Courts St, Miami",Leases,Renewal Rate,Low renewal rates,NexaRetail,Low
"1556 Maxwell Forges St, Atlanta",Work Orders,Completion Rate,High number of reactive work orders,Quantum Dynamics,Critical
"3943 Warren Spurs St, New York",Leases,Renewal Rate,Low renewal rates,TechSphere Inc.,Low
"6113 Erin View St, Houston",Budgets,Budget Compliance,Janitorial Budget above 20% mean,Bank of ACME,Critical
"3432 Barbara Parks St, New York",Leases,Occupancy,High number of expiring leases,Skyline Properties,Medium
"9703 Mary Valleys St, Atlanta",Compliance,Compliance Score,Multiple non-compliance incidents,Bank of ACME,Low
"9499 Sims Village St, Houston",Work Orders,Preventative,High number of reactive work orders,GreenLeaf Co.,Critical
"9593 Roy Overpass St, Dallas",Work Orders,Completion Rate,Completion Rates below 50%,StreamView Media,High
"1462 Boyd Mill St, Miami",Leases,Expiring,High number of expiring leases,Skyline Properties,Medium
"8339 Greer Springs St, New York",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,Skyline Properties,Low
"1199 Ashley Lock St, Chicago",Compliance,Compliance Score,Multiple non-compliance incidents,Quantum Dynamics,Low
"3667 Ho Mountain St, Boston",Budgets,Energy Cost Variance,Energy Costs above 15% mean,Quantum Dynamics,Critical
"6225 Stevenson Throughway St, Seattle",Compliance,Compliance Score,Multiple non-compliance incidents,Bank of ACME,Low
"3130 Patricia Lodge St, Seattle",Leases,Occupancy,Low renewal rates,EverGrow Farms,Low
"8267 Trujillo Meadow St, New York",Work Orders,Completion Rate,High number of reactive work orders,GreenLeaf Co.,Medium
"8149 Anderson Glen St, Miami",Energy Usage,Energy Efficiency,High energy usage during peak hours,GreenLeaf Co.,Low
"2708 Butler Points St, Atlanta",Budgets,Energy Cost Variance,Energy Costs above 15% mean,NexaRetail,Critical
"2734 Sara Mountain St, Miami",Energy Usage,Off-Hours,Low energy efficiency,EverGrow Farms,Low
"1078 Conrad Pass St, Dallas",Budgets,Energy Cost Variance,Energy Costs above 15% mean,NexaRetail,Low
"5643 Bond Springs St, New York",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,Bank of ACME,High
"250 William Lakes St, San Francisco",Leases,Occupancy,Low renewal rates,TechSphere Inc.,Medium
"5080 Payne Branch St, San Francisco",Leases,Expiring,High number of expiring leases,Quantum Dynamics,Low
"7717 Kimberly Glen St, Seattle",Leases,Expiring,High number of expiring leases,TechSphere Inc.,Medium
"7623 Mitchell Street St, New York",Work Orders,Preventative,High number of reactive work orders,Quantum Dynamics,Critical
"3546 Amanda Glens St, San Francisco",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,EverGrow Farms,High
"4730 Jonathan Flats St, Boston",Work Orders,Reactive,Completion Rates below 50%,TechSphere Inc.,Critical
"9454 Elizabeth Curve St, Los Angeles",Energy Usage,Off-Hours,Low energy efficiency,EverGrow Farms,Critical
"9158 Jacqueline Estate St, Chicago",Leases,Occupancy,High number of expiring leases,Quantum Dynamics,Medium
"6064 Dorothy Springs St, New York",Budgets,Budget Compliance,Janitorial Budget above 20% mean,NexaRetail,High
"5308 Terri River St, Miami",Work Orders,Completion Rate,High number of reactive work orders,TechSphere Inc.,Critical
"8864 Jennifer Springs St, Dallas",Energy Usage,Energy Efficiency,High energy usage during peak hours,EverGrow Farms,High
"490 Lindsey Mills St, Atlanta",Leases,Expiring,High number of expiring leases,NexaRetail,Low
"9798 Roberts Lane St, Houston",Leases,Occupancy,Low renewal rates,NexaRetail,Medium
"6722 Walter Crossroad St, Houston",Energy Usage,Off-Hours,High energy usage during peak hours,Skyline Properties,Medium
"6301 Clarke Oval St, Boston",Energy Usage,Off-Hours,Low energy efficiency,Quantum Dynamics,Medium
"5424 Jensen Expressway St, Atlanta",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,GreenLeaf Co.,High
"8522 Murphy Lakes St, Miami",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,Bank of ACME,Medium
"9151 Chen Lights St, Chicago",Compliance,Regulatory Updates,Multiple non-compliance incidents,Skyline Properties,High
"3413 Albert Rest St, Chicago",Energy Usage,Energy Efficiency,Low energy efficiency,EverGrow Farms,Critical
"2329 Ross Dale St, San Francisco",Energy Usage,Peak Hours,High energy usage during peak hours,GreenLeaf Co.,Medium
"8439 Allison Drives St, Chicago",Work Orders,Completion Rate,Completion Rates below 50%,NexaRetail,Critical
"5928 Douglas Fords St, Seattle",Work Orders,Reactive,High number of reactive work orders,GreenLeaf Co.,High
"2602 Francis Mountains St, Houston",Work Orders,Completion Rate,High number of reactive work orders,NexaRetail,Low
"8358 Heather Skyway St, Boston",Energy Usage,Off-Hours,High energy usage during peak hours,TechSphere Inc.,Medium
"2844 Ariana Ports St, Houston",Leases,Occupancy,High number of expiring leases,Skyline Properties,Low
"2043 Lozano Crest St, Miami",Budgets,Budget Compliance,Energy Costs above 15% mean,Skyline Properties,Critical
"4795 Morris Plaza St, Houston",Energy Usage,Off-Hours,Low energy efficiency,GreenLeaf Co.,Critical
"2145 Snyder Views St, Houston",Energy Usage,Peak Hours,High energy usage during peak hours,TechSphere Inc.,Critical
"8150 Jonathan River St, Miami",Energy Usage,Off-Hours,Low energy efficiency,StreamView Media,Medium
"2090 Terry Radial St, Los Angeles",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,Bank of ACME,Critical
"8678 Sheppard Trafficway St, Atlanta",Energy Usage,Off-Hours,Low energy efficiency,Quantum Dynamics,Low
"8436 Smith Streets St, Atlanta",Work Orders,Reactive,Completion Rates below 50%,Bank of ACME,High
"3381 Foster Canyon St, Dallas",Work Orders,Reactive,High number of reactive work orders,NexaRetail,Medium
"6614 Tamara Crescent St, Houston",Work Orders,Preventative,High number of reactive work orders,StreamView Media,Medium
"3916 Barnes Glen St, Houston",Leases,Occupancy,High number of expiring leases,NexaRetail,Medium
"9083 Yates Shoals St, Miami",Budgets,Budget Compliance,Energy Costs above 15% mean,Quantum Dynamics,High
"2845 Nichole Ford St, Chicago",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,GreenLeaf Co.,Low
"6632 Bridget Motorway St, Seattle",Work Orders,Completion Rate,Completion Rates below 50%,Quantum Dynamics,Low
"1709 Fisher Crest St, New York",Compliance,Compliance Score,Multiple non-compliance incidents,StreamView Media,Low
"763 Hurley Centers St, Miami",Leases,Occupancy,High number of expiring leases,Bank of ACME,Low
"6673 Anthony Via St, Dallas",Energy Usage,Off-Hours,High energy usage during peak hours,StreamView Media,Low
"6204 Jones Trail St, Boston",Leases,Occupancy,Low renewal rates,StreamView Media,Low
"6639 Jacob Canyon St, New York",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,Bank of ACME,Medium
"6551 Hutchinson Greens St, Boston",Leases,Expiring,High number of expiring leases,GreenLeaf Co.,Low
"8583 James Brooks St, Atlanta",Work Orders,Preventative,Completion Rates below 50%,Bank of ACME,Low
"1464 Velez Valley St, Los Angeles",Leases,Renewal Rate,High number of expiring leases,Bank of ACME,Medium
"4470 Crawford Common St, Los Angeles",Leases,Occupancy,High number of expiring leases,GreenLeaf Co.,High
"9539 Diane Underpass St, San Francisco",Energy Usage,Off-Hours,High energy usage during peak hours,NexaRetail,High
"9156 Garcia Ramp St, San Francisco",Compliance,Regulatory Updates,Upcoming regulatory changes,StreamView Media,Medium
"7247 Wheeler Highway St, Miami",Energy Usage,Peak Hours,High energy usage during peak hours,Quantum Dynamics,Critical
"9528 Teresa Corners St, Atlanta",Energy Usage,Peak Hours,Low energy efficiency,GreenLeaf Co.,Medium
"8574 Hill Stravenue St, Chicago",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,TechSphere Inc.,Critical
"928 Scott Trail St, Los Angeles",Energy Usage,Energy Efficiency,High energy usage during peak hours,TechSphere Inc.,Critical
"843 David Ways St, Los Angeles",Energy Usage,Energy Efficiency,High energy usage during peak hours,Skyline Properties,High
"1722 Whitaker River St, San Francisco",Budgets,Budget Compliance,Janitorial Budget above 20% mean,GreenLeaf Co.,High
"7077 James Trafficway St, Chicago",Leases,Renewal Rate,High number of expiring leases,Bank of ACME,Critical
"808 Miller Junction St, Seattle",Leases,Occupancy,Low renewal rates,GreenLeaf Co.,High
"1913 Katelyn Isle St, San Francisco",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,NexaRetail,Medium
"4336 William Viaduct St, Chicago",Compliance,Compliance Score,Upcoming regulatory changes,StreamView Media,Low
"8070 Duncan Meadows St, Atlanta",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,GreenLeaf Co.,Critical
"4260 Wilson Valleys St, San Francisco",Work Orders,Reactive,High number of reactive work orders,Skyline Properties,Critical
"2502 Kathleen Islands St, Miami",Budgets,Budget Compliance,Energy Costs above 15% mean,StreamView Media,Medium
"577 Christopher Neck St, San Francisco",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,Skyline Properties,Medium
"391 King Spur St, San Francisco",Energy Usage,Energy Efficiency,Low energy efficiency,TechSphere Inc.,Medium
"3133 Julia Groves St, Los Angeles",Energy Usage,Off-Hours,Low energy efficiency,StreamView Media,Critical
"445 Barnes Extensions St, San Francisco",Leases,Expiring,Low renewal rates,TechSphere Inc.,Low
"8743 Mary Fork St, Boston",Leases,Expiring,Low renewal rates,Quantum Dynamics,Medium
"9573 Willie Divide St, Los Angeles",Leases,Occupancy,Low renewal rates,Skyline Properties,Medium
"2900 Campos Lake St, Los Angeles",Work Orders,Reactive,Completion Rates below 50%,NexaRetail,Critical
"7389 Nelson Plaza St, Los Angeles",Work Orders,Reactive,Completion Rates below 50%,StreamView Media,High
"245 Cunningham Junction St, New York",Work Orders,Preventative,Completion Rates below 50%,NexaRetail,Critical
"7068 Robin Pass St, Atlanta",Energy Usage,Off-Hours,High energy usage during peak hours,GreenLeaf Co.,Low
"7306 Byrd Drives St, Dallas",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,NexaRetail,High
